index,記事名,記事リンク先
001,旋盤加工の「芯出し」を民主化する：熟練工の勘を不要にする丸型マグネットチャックの導入,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/001_%E6%97%8B%E7%9B%A4%E5%8A%A0%E5%B7%A5%E3%81%AE%E3%80%8C%E8%8A%AF%E5%87%BA%E3%81%97%E3%80%8D%E3%82%92%E6%B0%91%E4%B8%BB%E5%8C%96%E3%81%99%E3%82%8B%EF%BC%9A%E7%86%9F%E7%B7%B4%E5%B7%A5%E3%81%AE%E5%8B%98%E3%82%92%E4%B8%8D%E8%A6%81%E3%81%AB%E3%81%99%E3%82%8B%E4%B8%B8%E5%9E%8B%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E3%81%AE%E5%B0%8E%E5%85%A5/democratizing-lathe-alignment_ja.html
002,【国際安全基準】OSHA・DGUVから読み解く旋盤作業の突起物リスクと「除去」による本質的安全化,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/002_%E3%80%90%E5%9B%BD%E9%9A%9B%E5%AE%89%E5%85%A8%E5%9F%BA%E6%BA%96%E3%80%91OSHA%E3%83%BBDGUV%E3%81%8B%E3%82%89%E8%AA%AD%E3%81%BF%E8%A7%A3%E3%81%8F%E6%97%8B%E7%9B%A4%E4%BD%9C%E6%A5%AD%E3%81%AE%E7%AA%81%E8%B5%B7%E7%89%A9%E3%83%AA%E3%82%B9%E3%82%AF%E3%81%A8%E3%80%8C%E9%99%A4%E5%8E%BB%E3%80%8D%E3%81%AB%E3%82%88%E3%82%8B%E6%9C%AC%E8%B3%AA%E7%9A%84%E5%AE%89%E5%85%A8%E5%8C%96/international-safety-standards-lathe-risks_ja.html
003,旋盤の「歪み」を科学する：点接触から面接触へ、加工精度を再定義する応力分布の革新,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/003_%E6%97%8B%E7%9B%A4%E3%81%AE%E3%80%8C%E6%AD%AA%E3%81%BF%E3%80%8D%E3%82%92%E7%A7%91%E5%AD%A6%E3%81%99%E3%82%8B%EF%BC%9A%E7%82%B9%E6%8E%A5%E8%A7%A6%E3%81%8B%E3%82%89%E9%9D%A2%E6%8E%A5%E8%A7%A6%E3%81%B8%E3%80%81%E5%8A%A0%E5%B7%A5%E7%B2%BE%E5%BA%A6%E3%82%92%E5%86%8D%E5%AE%9A%E7%BE%A9%E3%81%99%E3%82%8B%E5%BF%9C%E5%8A%9B%E5%88%86%E5%B8%83%E3%81%AE%E9%9D%A9%E6%96%B0/science-of-lathe-deformation_ja.html
004,旋盤段取りの解剖学：非加工時間を利益に変える「外段取り」の技術,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/004_%E6%97%8B%E7%9B%A4%E6%AE%B5%E5%8F%96%E3%82%8A%E3%81%AE%E8%A7%A3%E5%89%96%E5%AD%A6%EF%BC%9A%E9%9D%9E%E5%8A%A0%E5%B7%A5%E6%99%82%E9%96%93%E3%82%92%E5%88%A9%E7%9B%8A%E3%81%AB%E5%A4%89%E3%81%88%E3%82%8B%E3%80%8C%E5%A4%96%E6%AE%B5%E5%8F%96%E3%82%8A%E3%80%8D%E3%81%AE%E6%8A%80%E8%A1%93/anatomy-of-lathe-setup-efficiency_ja.html
005,薄肉パイプ・リング加工の壁：初心者が知るべき「変形」の力学と回避術,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/005_%E8%96%84%E8%82%89%E3%83%91%E3%82%A4%E3%83%97%E3%83%BB%E3%83%AA%E3%83%B3%E3%82%B0%E5%8A%A0%E5%B7%A5%E3%81%AE%E5%A3%81%EF%BC%9A%E5%88%9D%E5%BF%83%E8%80%85%E3%81%8C%E7%9F%A5%E3%82%8B%E3%81%B9%E3%81%8D%E3%80%8C%E5%A4%89%E5%BD%A2%E3%80%8D%E3%81%AE%E5%8A%9B%E5%AD%A6%E3%81%A8%E5%9B%9E%E9%81%BF%E8%A1%93/thin-walled-pipe-ring-processing_ja.html
006,幾何公差（GD&T）と旋盤加工：グローバル図面を読み解き、同軸度・真直度を出す基礎,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/006_%E5%B9%BE%E4%BD%95%E5%85%AC%E5%B7%AE%EF%BC%88GD%26T%EF%BC%89%E3%81%A8%E6%97%8B%E7%9B%A4%E5%8A%A0%E5%B7%A5%EF%BC%9A%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%90%E3%83%AB%E5%9B%B3%E9%9D%A2%E3%82%92%E8%AA%AD%E3%81%BF%E8%A7%A3%E3%81%8D%E3%80%81%E5%90%8C%E8%BB%B8%E5%BA%A6%E3%83%BB%E7%9C%9F%E7%9B%B4%E5%BA%A6%E3%82%92%E5%87%BA%E3%81%99%E5%9F%BA%E7%A4%8E/geometric-dimensioning-and-tolerancing-lathe_ja.html
007,ビビリ（チャタリング）の発生メカニズムと剛性：ワーク保持から見直す5つの対策,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/007_%E3%83%93%E3%83%93%E3%83%AA%EF%BC%88%E3%83%81%E3%83%A3%E3%82%BF%E3%83%AA%E3%83%B3%E3%82%B0%EF%BC%89%E3%81%AE%E7%99%BA%E7%94%9F%E3%83%A1%E3%82%AB%E3%83%8B%E3%82%BA%E3%83%A0%E3%81%A8%E5%89%9B%E6%80%A7%EF%BC%9A%E3%83%AF%E3%83%BC%E3%82%AF%E4%BF%9D%E6%8C%81%E3%81%8B%E3%82%89%E8%A6%8B%E7%9B%B4%E3%81%995%E3%81%A4%E3%81%AE%E5%AF%BE%E7%AD%96/chatter-vibration-workholding_ja.html
008,切削油（クーラント）と切りくず処理の基本：連続無人運転を阻む要因と対策,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/008_%E5%88%87%E5%89%8A%E6%B2%B9%EF%BC%88%E3%82%AF%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%88%EF%BC%89%E3%81%A8%E5%88%87%E3%82%8A%E3%81%8F%E3%81%9A%E5%87%A6%E7%90%86%E3%81%AE%E5%9F%BA%E6%9C%AC%EF%BC%9A%E9%80%A3%E7%B6%9A%E7%84%A1%E4%BA%BA%E9%81%8B%E8%BB%A2%E3%82%92%E9%98%BB%E3%82%80%E8%A6%81%E5%9B%A0%E3%81%A8%E5%AF%BE%E7%AD%96/coolant-chip-management_ja.html
009,旋盤加工における「素材（被削材）」の基礎：アルミ、ステンレス、難削材のクランプ特性,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/009_%E6%97%8B%E7%9B%A4%E5%8A%A0%E5%B7%A5%E3%81%AB%E3%81%8A%E3%81%91%E3%82%8B%E3%80%8C%E7%B4%A0%E6%9D%90%EF%BC%88%E8%A2%AB%E5%89%8A%E6%9D%90%EF%BC%89%E3%80%8D%E3%81%AE%E5%9F%BA%E7%A4%8E%EF%BC%9A%E3%82%A2%E3%83%AB%E3%83%9F%E3%80%81%E3%82%B9%E3%83%86%E3%83%B3%E3%83%AC%E3%82%B9%E3%80%81%E9%9B%A3%E5%89%8A%E6%9D%90%E3%81%AE%E3%82%AF%E3%83%A9%E3%83%B3%E3%83%97%E7%89%B9%E6%80%A7/lathe-material-clamping-guide_ja.html
010,職人の「暗黙知」をデータ化する：次世代旋盤オペレーターに求められるスキルセット,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/010_%E8%81%B7%E4%BA%BA%E3%81%AE%E3%80%8C%E6%9A%97%E9%BB%99%E7%9F%A5%E3%80%8D%E3%82%92%E3%83%87%E3%83%BC%E3%82%BF%E5%8C%96%E3%81%99%E3%82%8B%EF%BC%9A%E6%AC%A1%E4%B8%96%E4%BB%A3%E6%97%8B%E7%9B%A4%E3%82%AA%E3%83%9A%E3%83%AC%E3%83%BC%E3%82%BF%E3%83%BC%E3%81%AB%E6%B1%82%E3%82%81%E3%82%89%E3%82%8C%E3%82%8B%E3%82%B9%E3%82%AD%E3%83%AB%E3%82%BB%E3%83%83%E3%83%88/tacit-knowledge-to-data_ja.html
011,マグネットチャックとは？原理・種類・用途を完全解説【2026年最新版】,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/011_%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E3%81%A8%E3%81%AF%3F%E5%8E%9F%E7%90%86%E3%83%BB%E7%A8%AE%E9%A1%9E%E3%83%BB%E7%94%A8%E9%80%94%E3%82%92%E5%AE%8C%E5%85%A8%E8%A7%A3%E8%AA%AC%E3%80%902026%E5%B9%B4%E6%9C%80%E6%96%B0%E7%89%88%E3%80%91/magnetic-chuck-complete-guide_ja.html
012,永電磁式マグネットチャックの技術的優位性：電磁式・永磁式との徹底比較,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/012_%E6%B0%B8%E9%9B%BB%E7%A3%81%E5%BC%8F%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E3%81%AE%E6%8A%80%E8%A1%93%E7%9A%84%E5%84%AA%E4%BD%8D%E6%80%A7%20%E9%9B%BB%E7%A3%81%E5%BC%8F%E3%83%BB%E6%B0%B8%E7%A3%81%E5%BC%8F%E3%81%A8%E3%81%AE%E5%BE%B9%E5%BA%95%E6%AF%94%E8%BC%83/electro-permanent-magnetic-chuck-comparison_ja.html
013,マグネットチャックの吸着力計算と安全率設定：切削力に負けない設計手法,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/013_%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E3%81%AE%E5%90%B8%E7%9D%80%E5%8A%9B%E8%A8%88%E7%AE%97%E3%81%A8%E5%AE%89%E5%85%A8%E7%8E%87%E8%A8%AD%E5%AE%9A%20%E5%88%87%E5%89%8A%E5%8A%9B%E3%81%AB%E8%B2%A0%E3%81%91%E3%81%AA%E3%81%84%E8%A8%AD%E8%A8%88%E6%89%8B%E6%B3%95/magnetic-chuck-holding-force-calculation_ja.html
014,マグネットチャック vs 油圧チャック vs メカニカルチャック：生産性・コスト・精度の3軸比較,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/014_%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%20vs%20%E6%B2%B9%E5%9C%A7%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%20vs%20%E3%83%A1%E3%82%AB%E3%83%8B%E3%82%AB%E3%83%AB%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%20%E7%94%9F%E7%94%A3%E6%80%A7%E3%83%BB%E3%82%B3%E3%82%B9%E3%83%88%E3%83%BB%E7%B2%BE%E5%BA%A6%E3%81%AE3%E8%BB%B8%E6%AF%94%E8%BC%83/magnetic-vs-hydraulic-vs-mechanical-chuck_ja.html
016,非鉄金属・非磁性材料のマグネット保持：ハイブリッド方式とベストプラクティス,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/016_%E9%9D%9E%E9%89%84%E9%87%91%E5%B1%9E%E3%83%BB%E9%9D%9E%E7%A3%81%E6%80%A7%E6%9D%90%E6%96%99%E3%81%AE%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E4%BF%9D%E6%8C%81%EF%BC%9A%E3%83%8F%E3%82%A4%E3%83%96%E3%83%AA%E3%83%83%E3%83%89%E6%96%B9%E5%BC%8F%E3%81%A8%E3%83%99%E3%82%B9%E3%83%88%E3%83%97%E3%83%A9%E3%82%AF%E3%83%86%E3%82%A3%E3%82%B9/non-ferrous-magnetic-chuck_ja.html
017,Industry 4.0対応マグネットチャック：IoT統合と予知保全戦略,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/017_Industry%204.0%E5%AF%BE%E5%BF%9C%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%EF%BC%9AIoT%E7%B5%B1%E5%90%88%E3%81%A8%E4%BA%88%E7%9F%A5%E4%BF%9D%E5%85%A8%E6%88%A6%E7%95%A5/industry40-iot-magnetic-chuck_ja.html
018,停電・電圧変動対策：永電磁式マグネットチャックが新興国市場で選ばれる理由,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/018_%E5%81%9C%E9%9B%BB%E3%83%BB%E9%9B%BB%E5%9C%A7%E5%A4%89%E5%8B%95%E5%AF%BE%E7%AD%96%20%E6%B0%B8%E9%9B%BB%E7%A3%81%E5%BC%8F%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E3%81%8C%E6%96%B0%E8%88%88%E5%9B%BD%E5%B8%82%E5%A0%B4%E3%81%A7%E9%81%B8%E3%81%B0%E3%82%8C%E3%82%8B%E7%90%86%E7%94%B1/power-outage-magnetic-chuck-emerging-markets_ja.html
019,マグネットチャックの寿命とメンテナンス：20年使える設計の秘密,https://tokyodays.github.io/sunai-magazine/SunAI-Magazine/02_%E8%A8%98%E4%BA%8B/019_%E3%83%9E%E3%82%B0%E3%83%8D%E3%83%83%E3%83%88%E3%83%81%E3%83%A3%E3%83%83%E3%82%AF%E3%81%AE%E5%AF%BF%E5%91%BD%E3%81%A8%E3%83%A1%E3%83%B3%E3%83%86%E3%83%8A%E3%83%B3%E3%82%B9%2020%E5%B9%B4%E4%BD%BF%E3%81%88%E3%82%8B%E8%A8%AD%E8%A8%88%E3%81%AE%E7%A7%98%E5%AF%86/magnetic-chuck-lifespan-maintenance_ja.html
